Acadia	#35312c
Acapulco	#75aa94
Aero Blue	#c0e8d5
Affair	#745085
Afghan Tan	#905e26
Air Force Blue	#5d8aa8
Akaroa	#beb29a
Alabaster	#f2f0e6
Albescent White	#e1dacb
Alert Tan	#954e2c
Alice Blue	#f0f8ff
Alizarin	#e32636
Allports	#1f6a7d
Almond	#eed9c4
Almond Frost	#9a8678
Alpine	#ad8a3b
Alto	#cdc6c5
Aluminium	#848789
Amaranth	#e52b50
Amazon	#387b54
Amber	#ffbf00
Americano	#8a7d72
Amethyst	#9966cc
Amethyst Smoke	#95879c
Amour	#f5e6ea
Amulet	#7d9d72
Anakiwa	#8cceea
Antique Brass	#6c461f
Antique White	#faebd7
Anzac	#c68e3f
Apache	#d3a95c
Apple	#66b348
Apple Blossom	#a95249
Apple Green	#deeadc
Apricot	#fbceb1
Apricot White	#f7f0db
Aqua	#00ffff
Aqua Haze	#d9ddd5
Aqua Spring	#e8f3e8
Aqua Squeeze	#dbe4dc
Aquamarine	#7fffd4
Arapawa	#274a5d
Armadillo	#484a46
Army green	#4b5320
Arrowtown	#827a67
Arsenic	#3b444b
Ash	#bebaa7
Asparagus	#7ba05b
Astra	#edd5a6
Astral	#376f89
Astronaut	#445172
Astronaut Blue	#214559
Athens Grey	#dcdddd
Aths Special	#d5cbb2
Atlantis	#9cd03b
Atoll	#2b797a
Atomic	#3d4b52
Atomic Tangerine	#ff9966
Au Chico	#9e6759
Aubergine	#372528
Auburn	#712f2c
Australian Mint	#eff8aa
Avocado	#95986b
Axolotl	#63775a
Azalea	#f9c0c4
Aztec	#293432
Azure	#f0ffff
Baby Blue	#6fffff
Bahama Blue	#25597f
Bahia	#a9c01c
Baker's Chocolate	#5c3317
Bali Hai	#849ca9
Baltic Sea	#3c3d3e
Banana Mania	#fbe7b2
Bandicoot	#878466
Barberry	#d2c61f
Barley Corn	#b6935c
Barley White	#f7e5b7
Barossa	#452e39
Bastille	#2c2c32
Battleship Grey	#51574f
Bay Leaf	#7bb18d
Bay Of Many	#353e64
Bazaar	#8f7777
Beauty Bush	#ebb9b3
Beaver	#926f5b
Beeswax	#e9d7ab
Beige	#f5f5dc
Bermuda	#86d2c1
Bermuda Grey	#6f8c9f
Beryl Green	#bcbfa8
Bianca	#f4efe0
Big Stone	#334046
Bilbao	#3e8027
Biloba Flower	#ae99d2
Birch	#3f3726
Bird Flower	#d0c117
Biscay	#2f3c53
Bismark	#486c7a
Bison Hide	#b5ac94
Bisque	#ffe4c4
Bistre	#3d2b1f
Bitter	#88896c
Bitter Lemon	#d2db32
Bittersweet	#fe6f5e
Bizarre	#e7d2c8
Black	#000000
Black Bean	#232e26
Black Forest	#2c3227
Black Haze	#e0ded7
Black Magic	#332c22
Black Marlin	#383740
Black Pearl	#1e272c
Black Rock	#2c2d3c
Black Rose	#532934
Black Russian	#24252b
Black Squeeze	#e5e6df
Black White	#e5e4db
Blackberry	#43182f
Blackcurrant	#2e183b
Blanc	#d9d0c1
Blanched Almond	#ffebcd
Bleach White	#ebe1ce
Blizzard Blue	#a3e3ed
Blossom	#dfb1b6
Blue	#0000ff
Blue Bayoux	#62777e
Blue Bell	#9999cc
Blue Chalk	#e3d6e9
Blue Charcoal	#262b2f
Blue Chill	#408f90
Blue Diamond	#4b2d72
Blue Dianne	#35514f
Blue Gem	#4b3c8e
Blue Haze	#bdbace
Blue Lagoon	#00626f
Blue Marguerite	#6a5bb1
Blue Romance	#d8f0d2
Blue Smoke	#78857a
Blue Stone	#166461
Blue Violet	#8a2be2
Blue Whale	#1e3442
Blue Zodiac	#3c4354
Blumine	#305c71
Blush	#b55067
Bokara Grey	#2a2725
Bole	#79443b
Bombay	#aeaead
Bon Jour	#dfd7d2
Bondi Blue	#0095b6
Bone	#dbc2ab
Bordeaux	#4c1c24
Bossanova	#4c3d4e
Boston Blue	#438eac
Botticelli	#92acb4
Bottle Green	#254636
Boulder	#7c817c
Bouquet	#a78199
Bourbon	#af6c3e
Bracken	#5b3d27
Brandy	#dcb68a
Brandy Punch	#c07c40
Brandy Rose	#b6857a
Brass	#b5a642
Breaker Bay	#517b78
Brick Red	#c62d42
Bridal Heath	#f8ebdd
Bridesmaid	#fae6df
Bright Green	#66ff00
Bright Grey	#57595d
Bright Red	#922a31
Bright Sun	#ecbd2c
Bright Turquoise	#08e8de
Brilliant Rose	#ff55a3
Brink Pink	#fb607f
British Racing Green	#004225
Bronco	#a79781
Bronze	#cd7f32
Bronze Olive	#584c25
Bronzetone	#434c28
Broom	#eecc24
Brown	#a52a2a
Brown Bramble	#53331e
Brown Derby	#594537
Brown Pod	#3c241b
Bubbles	#e6f2ea
Buccaneer	#6e5150
Bud	#a5a88f
Buddha Gold	#bc9b1b
Buff	#f0dc82
Bulgarian Rose	#482427
Bull Shot	#75442b
Bunker	#292c2f
Bunting	#2b3449
Burgundy	#800020
Burly Wood	#deb887
Burnham	#234537
Burning Sand	#d08363
Burnt Crimson	#582124
Burnt Orange	#ff7034
Burnt Sienna	#e97451
Burnt Umber	#8a3324
Buttercup	#da9429
Buttered Rum	#9d702e
Butterfly Bush	#68578c
Buttermilk	#f6e0a4
Buttery White	#f1ebda
Cab Sav	#4a2e32
Cabaret	#cd526c
Cabbage Pont	#4c5544
Cactus	#5b6f55
Cadet Blue	#5f9ea0
Cadillac	#984961
Cafe Royale	#6a4928
Calico	#d5b185
California	#e98c3a
Calypso	#3d7188
Camarone	#206937
Camelot	#803a4b
Cameo	#cca483
Camouflage	#4f4d32
Camouflage Green	#78866b
Can Can	#d08a9b
Canary	#ffff99
Cannon Pink	#8e5164
Cape Cod	#4e5552
Cape Honey	#fee0a5
Cape Palliser	#75482f
Caper	#afc182
Caput Mortuum	#592720
Caramel	#ffd59a
Cararra	#ebe5d5
Cardin Green	#1b3427
Cardinal	#c41e3a
Careys Pink	#c99aa0
Caribbean Green	#00cc99
Carissma	#e68095
Carla	#f5f9cb
Carmine	#960018
Carnaby Tan	#5b3a24
Carnation Pink	#ffa6c9
Carousel Pink	#f8dbe0
Carrot Orange	#ed9121
Casablanca	#f0b253
Casal	#3f545a
Cascade	#8ca8a0
Cashmere	#d1b399
Casper	#aab5b8
Castro	#44232f
Catalina Blue	#273c5a
Catskill White	#e0e4dc
Cavern Pink	#e0b8b1
Ce Soir	#9271a7
Cedar	#463430
Celadon	#ace1af
Celery	#b4c04c
Celeste	#d2d2c0
Cello	#3a4e5f
Celtic	#2b3f36
Cement	#857158
Cerise	#de3163
Cerulean	#007ba7
Cerulean Blue	#2a52be
Chablis	#fde9e0
Chalet Green	#5a6e41
Chalky	#dfc281
Chambray	#475877
Chamois	#e8cd9a
Champagne	#eed9b6
Chantilly	#edb8c7
Charade	#394043
Charcoal	#464646
Chardon	#f8eadf
Chardonnay	#ffc878
Charlotte	#a4dce6
Charm	#d0748b
Chartreuse	#7fff00
Chartreuse Yellow	#dfff00
Chateau Green	#419f59
Chatelle	#b3abb6
Chathams Blue	#2c5971
Chelsea Cucumber	#88a95b
Chelsea Gem	#95532f
Chenin	#dec371
Cherokee	#f5cd82
Cherry Pie	#372d52
Cherub	#f5d7dc
Chestnut	#b94e48
Chetwode Blue	#666fb4
Chicago	#5b5d56
Chiffon	#f0f5bb
Chilean Fire	#d05e34
Chilean Heath	#f9f7de
China Ivory	#fbf3d3
Chino	#b8ad8a
Chinook	#9dd3a8
Chocolate	#d2691e
Christalle	#382161
Christi	#71a91d
Christine	#bf652e
Chrome White	#cac7b7
Cigar	#7d4e38
Cinder	#242a2e
Cinderella	#fbd7cc
Cinnabar	#e34234
Cioccolato	#5d3b2e
Citron	#8e9a21
Citrus	#9fb70a
Clam Shell	#d2b3a9
Claret	#6e2233
Classic Rose	#f4c8db
Clay Creek	#897e59
Clear Day	#dfefea
Clinker	#463623
Cloud	#c2bcb1
Cloud Burst	#353e4f
Cloudy	#b0a99f
Clover	#47562f
Cobalt	#0047ab
Cocoa Bean	#4f3835
Cocoa Brown	#35281e
Coconut Cream	#e1dabb
Cod Grey	#2d3032
Coffee	#726751
Coffee Bean	#362d26
Cognac	#9a463d
Cola	#3c2f23
Cold Purple	#9d8abf
Cold Turkey	#cab5b2
Columbia Blue	#9bddff
Comet	#636373
Como	#4c785c
Conch	#a0b1ae
Concord	#827f79
Concrete	#d2d1cd
Confetti	#ddcb46
Congo Brown	#654d49
Conifer	#b1dd52
Contessa	#c16f68
Copper	#da8a67
Copper Canyon	#77422c
Copper Rose	#996666
Copper Rust	#95524c
Coral	#ff7f50
Coral Candy	#f5d0c9
Coral Red	#ff4040
Coral Tree	#ab6e67
Corduroy	#404d49
Coriander	#bbb58d
Cork	#5a4c42
Corn	#fbec5d
Corn Field	#f8f3c4
Corn Flower Blue	#42426f
Corn Harvest	#8d702a
Corn Silk	#fff8dc
Cornflower	#93ccea
Cornflower Blue	#6495ed
Corvette	#e9ba81
Cosmic	#794d60
Cosmic Latte	#e1f8e7
Cosmos	#fcd5cf
Costa Del Sol	#625d2a
Cotton Candy	#ffb7d5
Cotton Seed	#bfbaaf
County Green	#1b4b35
Cowboy	#443736
Crab Apple	#87382f
Crail	#a65648
Cranberry	#db5079
Crater Brown	#4d3e3c
Cream	#fffdd0
Cream Brulee	#ffe39b
Cream Can	#eec051
Creole	#393227
Crete	#77712b
Crimson	#dc143c
Crocodile	#706950
Crown Of Thorns	#763c33
Cruise	#b4e2d5
Crusoe	#165b31
Crusta	#f38653
Cumin	#784430
Cumulus	#f5f4c1
Cupid	#f5b2c5
Curious Blue	#3d85b8
Cutty Sark	#5c8173
Cyprus	#0f4645
Dairy Cream	#edd2a4
Daisy Bush	#5b3e90
Dallas	#664a2d
Dandelion	#fed85d
Danube	#5b89c0
Dark Blue	#00008b
Dark Brown	#654321
Dark Cerulean	#08457e
Dark Chestnut	#986960
Dark Coral	#cd5b45
Dark Cyan	#008b8b
Dark Goldenrod	#b8860b
Dark Gray	#a9a9a9
Dark Green	#013220
Dark Green Copper	#4a766e
Dark Khaki	#bdb76b
Dark Magenta	#8b008b
Dark Olive Green	#556b2f
Dark Orange	#ff8c00
Dark Orchid	#9932cc
Dark Pastel Green	#03c03c
Dark Pink	#e75480
Dark Purple	#871f78
Dark Red	#8b0000
Dark Rum	#45362b
Dark Salmon	#e9967a
Dark Sea Green	#8fbc8f
Dark Slate	#465352
Dark Slate Blue	#483d8b
Dark Slate Grey	#2f4f4f
Dark Spring Green	#177245
Dark Tan	#97694f
Dark Tangerine	#ffa812
Dark Turquoise	#00ced1
Dark Violet	#9400d3
Dark Wood	#855e42
Davy's Grey	#788878
Dawn	#9f9d91
Dawn Pink	#e6d6cd
De York	#85ca87
Deco	#cccf82
Deep Blush	#e36f8a
Deep Bronze	#51412d
Deep Cerise	#da3287
Deep Fir	#193925
Deep Koamaru	#343467
Deep Lilac	#9955bb
Deep Magenta	#cc00cc
Deep Pink	#ff1493
Deep Sea	#167e65
Deep Sky Blue	#00bfff
Deep Teal	#19443c
Del Rio	#b5998e
Dell	#486531
Delta	#999b95
Deluge	#8272a4
Denim	#1560bd
Derby	#f9e4c6
Desert	#a15f3b
Desert Sand	#edc9af
Desert Storm	#ede7e0
Dew	#e7f2e9
Diesel	#322c2b
Dim Gray	#696969
Dingley	#607c47
Disco	#892d4f
Dixie	#cd8431
Dodger Blue	#1e90ff
Dolly	#f5f171
Dolphin	#6a6873
Domino	#6c5b4c
Don Juan	#5a4f51
Donkey Brown	#816e5c
Dorado	#6e5f56
Double Colonial White	#e4cf99
Double Pearl Lusta	#e9dcbe
Double Spanish White	#d2c3a3
Dove Grey	#777672
Downy	#6fd2be
Drover	#fbeb9b
Dune	#514f4a
Dust Storm	#e5cac0
Dusty Grey	#ac9b9b
Dutch White	#f0dfbb
Eagle	#b0ac94
Earls Green	#b8a722
Early Dawn	#fbf2db
East Bay	#47526e
East Side	#aa8cbc
Eastern Blue	#00879f
Ebb	#e6d8d4
Ebony	#313337
Ebony Clay	#323438
Echo Blue	#a4afcd
Eclipse	#3f3939
Ecru	#c2b280
Ecru White	#d6d1c0
Ecstasy	#c96138
Eden	#266255
Edgewater	#c1d8c5
Edward	#97a49a
Egg Sour	#f9e4c5
Eggplant	#990066
Egyptian Blue	#1034a6
El Paso	#39392c
El Salva	#8f4e45
Electric Blue	#7df9ff
Electric Indigo	#6600ff
Electric Lime	#ccff00
Electric Purple	#bf00ff
Elephant	#243640
Elf Green	#1b8a6b
Elm	#297b76
Emerald	#50c878
Eminence	#6e3974
Emperor	#50494a
Empress	#7c7173
Endeavour	#29598b
Energy Yellow	#f5d752
English Holly	#274234
Envy	#8ba58f
Equator	#dab160
Espresso	#4e312d
Eternity	#2d2f28
Eucalyptus	#329760
Eunry	#cda59c
Evening Sea	#26604f
Everglade	#264334
Fair Pink	#f3e5dc
Falcon	#6e5a5b
Fallow	#c19a6b
Falu Red	#801818
Fantasy	#f2e6dd
Fedora	#625665
Feijoa	#a5d785
Feldgrau	#4d5d53
Feldspar	#d19275
Fern	#63b76c
Fern Green	#4f7942
Ferra	#876a68
Festival	#eacc4a
Feta	#dbe0d0
Fiery Orange	#b1592f
Fiji Green	#636f22
Finch	#75785a
Finlandia	#61755b
Finn	#694554
Fiord	#4b5a62
Fire	#8f3f2a
Fire Brick	#b22222
Fire Bush	#e09842
Fire Engine Red	#ce1620
Firefly	#314643
Flame Pea	#be5c48
Flame Red	#86282e
Flamenco	#ea8645
Flamingo	#e1634f
Flax	#eedc82
Flint	#716e61
Flirt	#7a2e4d
Floral White	#fffaf0
Foam	#d0eae8
Fog	#d5c7e8
Foggy Grey	#a7a69d
Forest Green	#228b22
Forget Me Not	#fdefdb
Fountain Blue	#65adb2
Frangipani	#ffd7a0
Free Speech Aquamarine	#029d74
Free Speech Blue	#4156c5
Free Speech Green	#09f911
Free Speech Magenta	#e35bd8
Free Speech Red	#c00000
French Grey	#bfbdc1
French Lilac	#deb7d9
French Pass	#a4d2e0
French Rose	#f64a8a
Friar Grey	#86837a
Fringy Flower	#b4e1bb
Froly	#e56d75
Frost	#e1e4c5
Frosted Mint	#e2f2e4
Frostee	#dbe5d2
Fruit Salad	#4ba351
Fuchsia	#c154c1
Fuchsia Pink	#ff77ff
Fuego	#c2d62e
Fuel Yellow	#d19033
Fun Blue	#335083
Fun Green	#15633d
Fuscous Grey	#3c3b3c
Fuzzy Wuzzy Brown	#c45655
Gable Green	#2c4641
Gainsboro	#dcdcdc
Gallery	#dcd7d1
Galliano	#d8a723
Gamboge	#e49b0f
Geebung	#c5832e
Genoa	#31796d
Geraldine	#e77b75
Geyser	#cbd0cf
Ghost	#c0bfc7
Ghost White	#f8f8ff
Gigas	#564786
Gimblet	#b9ad61
Gin	#d9dfcd
Gin Fizz	#f8eaca
Givry	#ebd4ae
Glacier	#78b1bf
Glade Green	#5f8151
Go Ben	#786e4c
Goblin	#34533d
Gold	#ffd700
Gold Drop	#d56c30
Gold Tips	#e2b227
Golden Bell	#ca8136
Golden Brown	#996515
Golden Dream	#f1cc2b
Golden Fizz	#ebde31
Golden Glow	#f9d77e
Golden Poppy	#fcc200
Golden Sand	#eace6a
Golden Tainoi	#ffc152
Golden Yellow	#ffdf00
Goldenrod	#dbdb70
Gondola	#373332
Gordons Green	#29332b
Gorse	#fde336
Gossamer	#399f86
Gossip	#9fd385
Gothic	#698890
Governor Bay	#51559b
Grain Brown	#cab8a2
Grandis	#ffcd73
Granite Green	#8b8265
Granny Apple	#c5e7cd
Granny Smith	#7b948c
Granny Smith Apple	#9de093
Grape	#413d4b
Graphite	#383428
Gravel	#4a4b46
Green	#008000
Green House	#3e6334
Green Kelp	#393d2a
Green Leaf	#526b2d
Green Mist	#bfc298
Green Pea	#266242
Green Smoke	#9ca664
Green Spring	#a9af99
Green Vogue	#23414e
Green Waterloo	#2c2d24
Green White	#deddcb
Green Yellow	#adff2f
Grenadier	#c14d36
Grey	#808080
Grey Chateau	#9fa3a7
Grey Nickel	#bdbaae
Grey Nurse	#d1d3cc
Grey Olive	#a19a7f
Grey Suit	#9391a0
Grey-Asparagus	#465945
Guardsman Red	#952e31
Gulf Blue	#343f5c
Gulf Stream	#74b2a8
Gull Grey	#a4adb0
Gum Leaf	#acc9b2
Gumbo	#718f8a
Gun Powder	#484753
Gunmetal	#2c3539
Gunsmoke	#7a7c76
Gurkha	#989171
Hacienda	#9e8022
Hairy Heath	#633528
Haiti	#2c2a35
Half And Half	#ede7c8
Half Baked	#558f93
Half Colonial White	#f2e5bf
Half Dutch White	#fbf0d6
Half Pearl Lusta	#f1ead7
Half Spanish White	#e6dbc7
Hampton	#e8d4a2
Han Purple	#5218fa
Harlequin	#3fff00
Harley Davidson Orange	#c93413
Harp	#cbcec0
Harvest Gold	#eab76a
Havana	#3b2b2c
Havelock Blue	#5784c1
Hawaiian Tan	#99522b
Hawkes Blue	#d2daed
Heath	#4f2a2c
Heather	#aebbc1
Heathered Grey	#948c7e
Heavy Metal	#46473e
Heliotrope	#df73ff
Hemlock	#69684b
Hemp	#987d73
